id;nom;prenom;genre
gandalf;;Gandalf;homme
bparker;Parker;Ben;homme
dvcorleone;Corleone;Don Vito;homme
v;;V;homme
spock;;Spock;homme
adufresne;Dufresne;Andy;homme
pbaelish;Baelish;Petyr;homme
bparr;Parr;Bob;homme
moogway;;Maître Oogway;homme
blondin;;Blondin;homme
twayne;Wayne;Thomas;homme
jpsartre;Sartre;Jean-Paul;homme
gorwell;Orwell;George;homme
jcolonel;Jessep;Colonel;homme
fmulder;Mulder;Fox;homme
terminator;;Terminator;homme
owilde;Wilde;Oscar;homme
louis16;XIV;Louis;homme
mcorleone;Corleone;Michael;homme
santiago;;Santiago;homme
gorwell;Orwell;George;homme
lacton;Acton;Lord;homme
tlannister;Lannister;Tyrion;homme
tstark;Stark;Tony;homme
froosevelt;Roosevelt;Franklin;homme
bfranklin;Franklin;Benjamin;homme
keverdeen;Everdeen;Katniss;femme
wchurchill;Churchill;Winston;homme
jfkennedy;Kennedy;John F.;homme